name,row,ciclo,clave_plantel,cve_programa,modalidad,titulados_h,titulados_m,titulados_nb,titulados_t,ti_discapacidad_h,ti_discapacidad_m,ti_discapacidad_nb,ti_discapacidad_t,ti_habla_indigena_h,ti_habla_indigena_m,ti_habla_indigena_nb,ti_habla_indigena_t
1 2023-2024 14MMS0608W BGAI,1,2023-2024,14MMS0608W,BGAI,Escolarizada,,,,,,,,,,,,
2 2023-2024 14MMS0608W BGC,2,2023-2024,14MMS0608W,BGC,Escolarizada,,,,,,,,,,,,
3 2023-2024 14MMS0608W BGC,3,2023-2024,14MMS0608W,BGC,Escolarizada,,,,,,,,,,,,
4 2023-2024 14MMS0609V BGAI,4,2023-2024,14MMS0609V,BGAI,Escolarizada,,,,,,,,,,,,
5 2023-2024 14MMS0609V BGC,5,2023-2024,14MMS0609V,BGC,Escolarizada,,,,,,,,,,,,
6 2023-2024 14MMS0609V BGC,6,2023-2024,14MMS0609V,BGC,Escolarizada,,,,,,,,,,,,
7 2023-2024 14MMS0610K BGAI,7,2023-2024,14MMS0610K,BGAI,Escolarizada,,,,,,,,,,,,
8 2023-2024 14MMS0610K BGC,8,2023-2024,14MMS0610K,BGC,Escolarizada,,,,,,,,,,,,
9 2023-2024 14MMS0610K BGC,9,2023-2024,14MMS0610K,BGC,Escolarizada,,,,,,,,,,,,
10 2023-2024 14MMS0611J BGAI,10,2023-2024,14MMS0611J,BGAI,Escolarizada,,,,,,,,,,,,
11 2023-2024 14MMS0611J BGC,11,2023-2024,14MMS0611J,BGC,Escolarizada,,,,,,,,,,,,
12 2023-2024 14MMS0611J BGC,12,2023-2024,14MMS0611J,BGC,Escolarizada,,,,,,,,,,,,
13 2023-2024 14MMS0612I BGAI,13,2023-2024,14MMS0612I,BGAI,Escolarizada,,,,,,,,,,,,
14 2023-2024 14MMS0612I BGC,14,2023-2024,14MMS0612I,BGC,Escolarizada,,,,,,,,,,,,
15 2023-2024 14MMS0612I BGC,15,2023-2024,14MMS0612I,BGC,Escolarizada,,,,,,,,,,,,
16 2023-2024 14MMS0613H BGC,16,2023-2024,14MMS0613H,BGC,Escolarizada,,,,,,,,,,,,
17 2023-2024 14MMS0613H BGC,17,2023-2024,14MMS0613H,BGC,Escolarizada,,,,,,,,,,,,
18 2023-2024 14MMS0761Q BGC,18,2023-2024,14MMS0761Q,BGC,Escolarizada,,,,,,,,,,,,
19 2023-2024 14MMS0761Q BGC,19,2023-2024,14MMS0761Q,BGC,Escolarizada,,,,,,,,,,,,
20 2023-2024 14MMS0647Y BGAI,20,2023-2024,14MMS0647Y,BGAI,Escolarizada,,,,,,,,,,,,
21 2023-2024 14MMS0647Y BGC,21,2023-2024,14MMS0647Y,BGC,Escolarizada,,,,,,,,,,,,
22 2023-2024 14MMS0647Y BGC,22,2023-2024,14MMS0647Y,BGC,Escolarizada,,,,,,,,,,,,
23 2023-2024 14MMS0762P BGC,23,2023-2024,14MMS0762P,BGC,Escolarizada,,,,,,,,,,,,
24 2023-2024 14MMS0762P BGC,24,2023-2024,14MMS0762P,BGC,Escolarizada,,,,,,,,,,,,
