name,row,ciclo,clave_plantel,cve_programa,modalidad,egresados_h,egresados_m,egresados_nb,egresados_t,e_discapacidad_h,e_discapacidad_m,e_discapacidad_nb,e_discapacidad_t,e_habla_indigena_h,e_habla_indigena_m,e_habla_indigena_nb,e_habla_indigena_t
76 2023-2024 14MMS0643B BGC,76,2023-2024,14MMS0643B,BGC,Escolarizada,49,66,,115,,,,1,,,,0
77 2023-2024 14MMS0643B BGC,77,2023-2024,14MMS0643B,BGC,Escolarizada,50,64,,114,,,,1,,,,0
78 2023-2024 14MMS0705Y BGAI,78,2023-2024,14MMS0705Y,BGAI,Escolarizada,5,20,,25,,,,0,,,,0
79 2023-2024 14MMS0705Y BGC,79,2023-2024,14MMS0705Y,BGC,Escolarizada,33,65,,98,,,,2,,,,2
80 2023-2024 14MMS0705Y BGC,80,2023-2024,14MMS0705Y,BGC,Escolarizada,43,55,,98,,,,2,,,,0
81 2023-2024 14MMS0617D BGC,81,2023-2024,14MMS0617D,BGC,Escolarizada,61,105,,166,,,,1,,,,0
82 2023-2024 14MMS0617D BGC,82,2023-2024,14MMS0617D,BGC,Escolarizada,64,101,,165,,,,4,,,,0
83 2023-2024 14MMS0662Q BGC,83,2023-2024,14MMS0662Q,BGC,Escolarizada,37,36,,73,,,,0,,,,0
84 2023-2024 14MMS0663P BGC,84,2023-2024,14MMS0663P,BGC,Escolarizada,5,13,,18,,,,1,,,,0
85 2023-2024 14MMS0663P BGC,85,2023-2024,14MMS0663P,BGC,Escolarizada,9,9,,18,,,,0,,,,0
86 2023-2024 14MMS0664O BGC,86,2023-2024,14MMS0664O,BGC,Escolarizada,11,20,,31,,,,1,,,,0
87 2023-2024 14MMS0665N BGC,87,2023-2024,14MMS0665N,BGC,Escolarizada,11,27,,38,,,,1,,,,0
88 2023-2024 14MMS0665N BGC,88,2023-2024,14MMS0665N,BGC,Escolarizada,15,22,,37,,,,1,,,,0
89 2023-2024 14MMS0619B BGAI,89,2023-2024,14MMS0619B,BGAI,Escolarizada,2,0,,2,,,,0,,,,0
90 2023-2024 14MMS0619B BGC,90,2023-2024,14MMS0619B,BGC,Escolarizada,55,106,,161,,,,7,,,,0
91 2023-2024 14MMS0619B BGC,91,2023-2024,14MMS0619B,BGC,Escolarizada,54,106,,160,,,,4,,,,0
92 2023-2024 14MMS0666M BGC,92,2023-2024,14MMS0666M,BGC,Escolarizada,7,24,,31,,,,3,,,,0
93 2023-2024 14MMS0666M BGC,93,2023-2024,14MMS0666M,BGC,Escolarizada,15,16,,31,,,,1,,,,0
94 2023-2024 14MMS0667L BGC,94,2023-2024,14MMS0667L,BGC,Escolarizada,11,22,,33,,,,0,,,,0
95 2023-2024 14MMS0667L BGC,95,2023-2024,14MMS0667L,BGC,Escolarizada,12,20,,32,,,,0,,,,0
96 2023-2024 14MMS0728I BGC,96,2023-2024,14MMS0728I,BGC,Escolarizada,17,15,,32,,,,1,,,,0
97 2023-2024 14MMS0718B BGC,97,2023-2024,14MMS0718B,BGC,Escolarizada,20,29,,49,,,,0,,,,0
98 2023-2024 14MMS0718B BGC,98,2023-2024,14MMS0718B,BGC,Escolarizada,22,27,,49,,,,0,,,,0
99 2023-2024 14MMS0750K BGC,99,2023-2024,14MMS0750K,BGC,Escolarizada,25,38,,63,,,,0,,,,0
100 2023-2024 14MMS0618C BGAI,100,2023-2024,14MMS0618C,BGAI,Escolarizada,5,6,,11,,,,0,,,,0
101 2023-2024 14MMS0618C BGC,101,2023-2024,14MMS0618C,BGC,Escolarizada,79,110,,189,,,,3,,,,1
102 2023-2024 14MMS0618C BGC,102,2023-2024,14MMS0618C,BGC,Escolarizada,70,118,,188,,,,6,,,,0
103 2023-2024 14MMS0747X BGC,103,2023-2024,14MMS0747X,BGC,Escolarizada,36,51,,87,,,,0,,,,0
104 2023-2024 14MMS0668K BGC,104,2023-2024,14MMS0668K,BGC,Escolarizada,34,47,,81,,,,1,,,,0
105 2023-2024 14MMS0668K BGC,105,2023-2024,14MMS0668K,BGC,Escolarizada,18,62,,80,,,,1,,,,0
106 2023-2024 14MMS0621Q BGC,106,2023-2024,14MMS0621Q,BGC,Escolarizada,94,133,,227,,,,5,,,,0
107 2023-2024 14MMS0621Q BGC,107,2023-2024,14MMS0621Q,BGC,Escolarizada,81,145,,226,,,,6,,,,1
108 2023-2024 14MMS0635T BGC,108,2023-2024,14MMS0635T,BGC,Escolarizada,76,125,,201,,,,9,,,,0
109 2023-2024 14MMS0635T BGC,109,2023-2024,14MMS0635T,BGC,Escolarizada,83,118,,201,,,,7,,,,0
110 2023-2024 14MMS0732V BGC,110,2023-2024,14MMS0732V,BGC,Escolarizada,23,22,,45,,,,0,,,,3
111 2023-2024 14MMS0622P BGC,111,2023-2024,14MMS0622P,BGC,Escolarizada,23,30,,53,,,,1,,,,0
112 2023-2024 14MMS0622P BGC,112,2023-2024,14MMS0622P,BGC,Escolarizada,26,26,,52,,,,1,,,,0
113 2023-2024 14MMS0733U BGC,113,2023-2024,14MMS0733U,BGC,Escolarizada,29,17,,46,,,,0,,,,0
114 2023-2024 14MMS0674V BGC,114,2023-2024,14MMS0674V,BGC,Escolarizada,18,21,,39,,,,0,,,,1
115 2023-2024 14MMS0734T BGC,115,2023-2024,14MMS0734T,BGC,Escolarizada,9,10,,19,,,,1,,,,3
116 2023-2024 14MMS0675U BGC,116,2023-2024,14MMS0675U,BGC,Escolarizada,15,20,,35,,,,1,,,,0
117 2023-2024 14MMS0676T BGC,117,2023-2024,14MMS0676T,BGC,Escolarizada,19,11,,30,,,,2,,,,0
118 2023-2024 14MMS0676T BGC,118,2023-2024,14MMS0676T,BGC,Escolarizada,11,18,,29,,,,0,,,,0
119 2023-2024 14MMS0735S BGC,119,2023-2024,14MMS0735S,BGC,Escolarizada,11,10,,21,,,,0,,,,0
120 2023-2024 14MMS0736R BGC,120,2023-2024,14MMS0736R,BGC,Escolarizada,12,8,,20,,,,0,,,,1
121 2023-2024 14MMS0737Q BGC,121,2023-2024,14MMS0737Q,BGC,Escolarizada,15,16,,31,,,,0,,,,0
122 2023-2024 14MMS0677S BGC,122,2023-2024,14MMS0677S,BGC,Escolarizada,11,13,,24,,,,1,,,,0
123 2023-2024 14MMS0677S BGC,123,2023-2024,14MMS0677S,BGC,Escolarizada,10,14,,24,,,,0,,,,0
124 2023-2024 14MMS0758C BGC,124,2023-2024,14MMS0758C,BGC,Escolarizada,17,20,,37,,,,1,,,,0
125 2023-2024 14MMS0626L BGC,125,2023-2024,14MMS0626L,BGC,Escolarizada,95,160,,255,,,,12,,,,0
126 2023-2024 14MMS0626L BGC,126,2023-2024,14MMS0626L,BGC,Escolarizada,86,168,,254,,,,2,,,,1
127 2023-2024 14MMS0680F BGC,127,2023-2024,14MMS0680F,BGC,Escolarizada,29,33,,62,,,,1,,,,0
128 2023-2024 14MMS0681E BGC,128,2023-2024,14MMS0681E,BGC,Escolarizada,21,32,,53,,,,0,,,,0
129 2023-2024 14MMS0651K BGC,129,2023-2024,14MMS0651K,BGC,Escolarizada,57,86,,143,,,,3,,,,1
130 2023-2024 14MMS0651K BGC,130,2023-2024,14MMS0651K,BGC,Escolarizada,47,96,,143,,,,3,,,,1
131 2023-2024 14MMS0698E BGC,131,2023-2024,14MMS0698E,BGC,Escolarizada,19,27,,46,,,,0,,,,1
132 2023-2024 14MMS0698E BGC,132,2023-2024,14MMS0698E,BGC,Escolarizada,24,21,,45,,,,0,,,,0
133 2023-2024 14MMS0624N BGC,133,2023-2024,14MMS0624N,BGC,Escolarizada,28,41,,69,,,,0,,,,0
134 2023-2024 14MMS0624N BGC,134,2023-2024,14MMS0624N,BGC,Escolarizada,27,41,,68,,,,0,,,,0
135 2023-2024 14MMS0683C BGC,135,2023-2024,14MMS0683C,BGC,Escolarizada,7,25,,32,,,,0,,,,0
136 2023-2024 14MMS0683C BGC,136,2023-2024,14MMS0683C,BGC,Escolarizada,11,20,,31,,,,1,,,,0
137 2023-2024 14MMS0682D BGC,137,2023-2024,14MMS0682D,BGC,Escolarizada,13,17,,30,,,,0,,,,0
138 2023-2024 14MMS0682D BGC,138,2023-2024,14MMS0682D,BGC,Escolarizada,12,17,,29,,,,1,,,,0
139 2023-2024 14MMS0738P BGC,139,2023-2024,14MMS0738P,BGC,Escolarizada,11,19,,30,,,,0,,,,3
140 2023-2024 14MMS0625M BGAI,140,2023-2024,14MMS0625M,BGAI,Escolarizada,4,3,,7,,,,1,,,,0
141 2023-2024 14MMS0625M BGC,141,2023-2024,14MMS0625M,BGC,Escolarizada,34,38,,72,,,,3,,,,3
142 2023-2024 14MMS0625M BGC,142,2023-2024,14MMS0625M,BGC,Escolarizada,33,38,,71,,,,2,,,,1
143 2023-2024 14MMS0684B BGC,143,2023-2024,14MMS0684B,BGC,Escolarizada,12,20,,32,,,,1,,,,0
144 2023-2024 14MMS0687Z BGC,144,2023-2024,14MMS0687Z,BGC,Escolarizada,13,11,,24,,,,0,,,,1
145 2023-2024 14MMS0688Y BGC,145,2023-2024,14MMS0688Y,BGC,Escolarizada,20,19,,39,,,,0,,,,0
146 2023-2024 14MMS0652J BGC,146,2023-2024,14MMS0652J,BGC,Escolarizada,32,43,,75,,,,4,,,,0
147 2023-2024 14MMS0652J BGC,147,2023-2024,14MMS0652J,BGC,Escolarizada,32,42,,74,,,,2,,,,0
148 2023-2024 14MMS0726K BGC,148,2023-2024,14MMS0726K,BGC,Escolarizada,10,15,,25,,,,0,,,,0
149 2023-2024 14MMS0642C BGC,149,2023-2024,14MMS0642C,BGC,Escolarizada,28,49,,77,,,,4,,,,1
150 2023-2024 14MMS0642C BGC,150,2023-2024,14MMS0642C,BGC,Escolarizada,32,45,,77,,,,4,,,,0
151 2023-2024 14MMS0661R BGC,151,2023-2024,14MMS0661R,BGC,Escolarizada,25,32,,57,,,,1,,,,0
152 2023-2024 14MMS0641D BGC,152,2023-2024,14MMS0641D,BGC,Escolarizada,22,33,,55,,,,2,,,,0
153 2023-2024 14MMS0641D BGC,153,2023-2024,14MMS0641D,BGC,Escolarizada,24,31,,55,,,,1,,,,0
154 2023-2024 14MMS0760R BGC,154,2023-2024,14MMS0760R,BGC,Escolarizada,14,12,,26,,,,1,,,,0
155 2023-2024 14MMS0637R BGC,155,2023-2024,14MMS0637R,BGC,Escolarizada,48,55,,103,,,,2,,,,0
156 2023-2024 14MMS0637R BGC,156,2023-2024,14MMS0637R,BGC,Escolarizada,46,56,,102,,,,2,,,,0
157 2023-2024 14MMS0671Y BGC,157,2023-2024,14MMS0671Y,BGC,Escolarizada,13,10,,23,,,,0,,,,0
158 2023-2024 14MMS0671Y BGC,158,2023-2024,14MMS0671Y,BGC,Escolarizada,8,14,,22,,,,0,,,,0
159 2023-2024 14MMS0673W BGC,159,2023-2024,14MMS0673W,BGC,Escolarizada,18,18,,36,,,,0,,,,0
160 2023-2024 14MMS0673W BGC,160,2023-2024,14MMS0673W,BGC,Escolarizada,18,18,,36,,,,0,,,,0
161 2023-2024 14MMS0731W BGC,161,2023-2024,14MMS0731W,BGC,Escolarizada,23,16,,39,,,,1,,,,0
162 2023-2024 14MMS0685A BGC,162,2023-2024,14MMS0685A,BGC,Escolarizada,16,15,,31,,,,0,,,,1
163 2023-2024 14MMS0685A BGC,163,2023-2024,14MMS0685A,BGC,Escolarizada,13,18,,31,,,,2,,,,0
164 2023-2024 14MMS0686Z BGC,164,2023-2024,14MMS0686Z,BGC,Escolarizada,12,9,,21,,,,0,,,,5
165 2023-2024 14MMS0686Z BGC,165,2023-2024,14MMS0686Z,BGC,Escolarizada,10,10,,20,,,,0,,,,4
166 2023-2024 14MMS0693J BGC,166,2023-2024,14MMS0693J,BGC,Escolarizada,27,39,,66,,,,1,,,,0
167 2023-2024 14MMS0693J BGC,167,2023-2024,14MMS0693J,BGC,Escolarizada,24,42,,66,,,,0,,,,0
168 2023-2024 14MMS0678R BGC,168,2023-2024,14MMS0678R,BGC,Escolarizada,36,33,,69,,,,0,,,,0
169 2023-2024 14MMS0653I BGC,169,2023-2024,14MMS0653I,BGC,Escolarizada,57,82,,139,,,,2,,,,0
170 2023-2024 14MMS0653I BGC,170,2023-2024,14MMS0653I,BGC,Escolarizada,55,83,,138,,,,3,,,,0
171 2023-2024 14MMS0691L BGC,171,2023-2024,14MMS0691L,BGC,Escolarizada,22,39,,61,,,,1,,,,0
172 2023-2024 14MMS0692K BGC,172,2023-2024,14MMS0692K,BGC,Escolarizada,24,32,,56,,,,2,,,,0
173 2023-2024 14MMS0818A BGAI,173,2023-2024,14MMS0818A,BGAI,Escolarizada,23,14,,37,,,,2,,,,0
174 2023-2024 14MMS0818A BGC,174,2023-2024,14MMS0818A,BGC,Escolarizada,189,331,,520,,,,8,,,,2
175 2023-2024 14MMS0818A BGC,175,2023-2024,14MMS0818A,BGC,Escolarizada,184,335,,519,,,,13,,,,0
176 2023-2024 14MMS0879O BGC,176,2023-2024,14MMS0879O,BGC,Escolarizada,0,0,,0,,,,0,,,,0
177 2023-2024 14MMS0879O BGC,177,2023-2024,14MMS0879O,BGC,Escolarizada,0,0,,0,,,,0,,,,0
178 2023-2024 14MMS0764N BGC,178,2023-2024,14MMS0764N,BGC,Escolarizada,16,27,,43,,,,0,,,,0
179 2023-2024 14MMS0628J BGC,179,2023-2024,14MMS0628J,BGC,Escolarizada,105,130,,235,,,,10,,,,0
180 2023-2024 14MMS0628J BGC,180,2023-2024,14MMS0628J,BGC,Escolarizada,100,134,,234,,,,5,,,,0
181 2023-2024 14MMS0697F BGC,181,2023-2024,14MMS0697F,BGC,Escolarizada,10,16,,26,,,,1,,,,0
182 2023-2024 14MMS0697F BGC,182,2023-2024,14MMS0697F,BGC,Escolarizada,10,15,,25,,,,0,,,,0
183 2023-2024 14MMS0694I BGC,183,2023-2024,14MMS0694I,BGC,Escolarizada,5,12,,17,,,,0,,,,0
184 2023-2024 14MMS0694I BGC,184,2023-2024,14MMS0694I,BGC,Escolarizada,9,7,,16,,,,0,,,,0
185 2023-2024 14MMS0695H BGC,185,2023-2024,14MMS0695H,BGC,Escolarizada,18,23,,41,,,,1,,,,0
186 2023-2024 14MMS0695H BGC,186,2023-2024,14MMS0695H,BGC,Escolarizada,15,25,,40,,,,2,,,,0
187 2023-2024 14MMS0696G BGC,187,2023-2024,14MMS0696G,BGC,Escolarizada,12,24,,36,,,,0,,,,0
188 2023-2024 14MMS0696G BGC,188,2023-2024,14MMS0696G,BGC,Escolarizada,15,20,,35,,,,0,,,,0
189 2023-2024 14MMS0739O BGC,189,2023-2024,14MMS0739O,BGC,Escolarizada,9,21,,30,,,,1,,,,0
190 2023-2024 14MMS0739O BGC,190,2023-2024,14MMS0739O,BGC,Escolarizada,17,12,,29,,,,0,,,,0
191 2023-2024 14MMS0644A BGC,191,2023-2024,14MMS0644A,BGC,Escolarizada,54,63,,117,,,,1,,,,0
192 2023-2024 14MMS0644A BGC,192,2023-2024,14MMS0644A,BGC,Escolarizada,57,60,,117,,,,1,,,,0
193 2023-2024 14MMS0717C BGC,193,2023-2024,14MMS0717C,BGC,Escolarizada,17,28,,45,,,,1,,,,0
194 2023-2024 14MMS0717C BGC,194,2023-2024,14MMS0717C,BGC,Escolarizada,18,26,,44,,,,0,,,,0
195 2023-2024 14MMS0741C BGC,195,2023-2024,14MMS0741C,BGC,Escolarizada,15,23,,38,,,,0,,,,0
196 2023-2024 14MMS0722O BGC,196,2023-2024,14MMS0722O,BGC,Escolarizada,26,35,,61,,,,0,,,,0
197 2023-2024 14MMS0722O BGC,197,2023-2024,14MMS0722O,BGC,Escolarizada,25,36,,61,,,,0,,,,0
198 2023-2024 14MMS0798D BGC,198,2023-2024,14MMS0798D,BGC,Escolarizada,30,33,,63,,,,0,,,,0
199 2023-2024 14MMS0798D BGC,199,2023-2024,14MMS0798D,BGC,Escolarizada,23,39,,62,,,,0,,,,0
200 2023-2024 14MMS0714F BGC,200,2023-2024,14MMS0714F,BGC,Escolarizada,22,25,,47,,,,1,,,,0
201 2023-2024 14MMS0714F BGC,201,2023-2024,14MMS0714F,BGC,Escolarizada,15,32,,47,,,,4,,,,0
202 2023-2024 14MMS0706X BGC,202,2023-2024,14MMS0706X,BGC,Escolarizada,39,61,,100,,,,1,,,,0
203 2023-2024 14MMS0706X BGC,203,2023-2024,14MMS0706X,BGC,Escolarizada,39,60,,99,,,,3,,,,0
204 2023-2024 14MMS0748W BGC,204,2023-2024,14MMS0748W,BGC,Escolarizada,7,22,,29,,,,0,,,,0
205 2023-2024 14MMS0748W BGC,205,2023-2024,14MMS0748W,BGC,Escolarizada,6,22,,28,,,,0,,,,0
206 2023-2024 14MMS0639P BGC,206,2023-2024,14MMS0639P,BGC,Escolarizada,26,35,,61,,,,1,,,,0
207 2023-2024 14MMS0639P BGC,207,2023-2024,14MMS0639P,BGC,Escolarizada,30,31,,61,,,,2,,,,0
208 2023-2024 14MMS0616E BGC,208,2023-2024,14MMS0616E,BGC,Escolarizada,34,70,,104,,,,0,,,,1
209 2023-2024 14MMS0616E BGC,209,2023-2024,14MMS0616E,BGC,Escolarizada,41,62,,103,,,,3,,,,0
210 2023-2024 14MMS0827I BGC,210,2023-2024,14MMS0827I,BGC,Escolarizada,9,18,,27,,,,0,,,,0
211 2023-2024 14MMS0827I BGC,211,2023-2024,14MMS0827I,BGC,Escolarizada,14,13,,27,,,,0,,,,0
212 2023-2024 14MMS0699D BGC,212,2023-2024,14MMS0699D,BGC,Escolarizada,22,21,,43,,,,1,,,,0
213 2023-2024 14MMS0699D BGC,213,2023-2024,14MMS0699D,BGC,Escolarizada,21,22,,43,,,,0,,,,1
214 2023-2024 14MMS0707W BGC,214,2023-2024,14MMS0707W,BGC,Escolarizada,49,59,,108,,,,0,,,,0
215 2023-2024 14MMS0707W BGC,215,2023-2024,14MMS0707W,BGC,Escolarizada,38,69,,107,,,,0,,,,0
216 2023-2024 14MMS0701B BGC,216,2023-2024,14MMS0701B,BGC,Escolarizada,38,65,,103,,,,1,,,,1
