name,row,ciclo,cve_plantel,cve_programa,modalidad,matricula_h,matricula_m,matricula_nb,matricula_t,disc_fis_motriz_h,disc_fis_motriz_m,disc_fis_motriz_nb,disc_fis_motriz_t,disc_intelectual_h,disc_intelectual_m,disc_intelectual_nb,disc_intelectual_t,disc_multiple_h,disc_multiple_m,disc_multiple_nb,disc_multiple_t,disc_aud_hipoacusia_h,disc_aud_hipoacusia_m,disc_aud_hipoacusia_nb,disc_aud_hipoacusia_t,disc_aud_sordera_h,disc_aud_sordera_m,disc_aud_sordera_nb,disc_aud_sordera_t,disc_vis_baja_vision_h,disc_vis_baja_vision_m,disc_vis_baja_vision_nb,disc_vis_baja_vision_t,disc_vis_ceguera_h,disc_vis_ceguera_m,disc_vis_ceguera_nb,disc_vis_ceguera_t,disc_psicosocial_h,disc_psicosocial_m,disc_psicosocial_nb,disc_psicosocial_t,discapacidad_h,discapacidad_m,discapacidad_nb,discapacidad_t,habla_indigena_h,habla_indigena_m,habla_indigena_nb,habla_indigena_t
1 2021-2022 14MMS0607X BGC,1,2021-2022,14MMS0607X,BGC,Escolarizada,582,771,,1353,1,0,,1,1,1,,2,0,0,,0,1,1,,2,0,0,,0,10,15,,25,0,0,,0,0,0,,0,13,17,,30,0,1,,1
2 2021-2022 14MMS0607X BGC,2,2021-2022,14MMS0607X,BGC,Escolarizada,582,769,,1351,1,2,,3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,9,9,,18,0,0,,0,1,0,,1,11,11,,22,1,0,,1
3 2021-2022 14MMS0608W BGC,3,2021-2022,14MMS0608W,BGC,Escolarizada,912,1081,,1993,2,0,,2,0,0,,0,0,0,,0,0,0,,0,0,1,,1,10,25,,35,0,0,,0,1,0,,1,13,26,,39,0,1,,1
4 2021-2022 14MMS0608W BGC,4,2021-2022,14MMS0608W,BGC,Escolarizada,867,1126,,1993,0,2,,2,2,0,,2,0,0,,0,1,0,,1,1,0,,1,14,14,,28,0,1,,1,0,0,,0,18,17,,35,0,0,,0
5 2021-2022 14MMS0609V BGC,5,2021-2022,14MMS0609V,BGC,Escolarizada,461,702,,1163,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,6,2,,8,1,0,,1,0,0,,0,8,2,,10,0,0,,0
6 2021-2022 14MMS0609V BGC,6,2021-2022,14MMS0609V,BGC,Escolarizada,445,717,,1162,1,0,,1,0,0,,0,0,0,,0,0,0,,0,0,0,,0,8,12,,20,0,0,,0,0,0,,0,9,12,,21,0,0,,0
7 2021-2022 14MMS0610K BGC,7,2021-2022,14MMS0610K,BGC,Escolarizada,464,706,,1170,1,0,,1,1,1,,2,0,0,,0,0,0,,0,0,1,,1,6,9,,15,0,2,,2,0,0,,0,8,13,,21,0,0,,0
8 2021-2022 14MMS0610K BGC,8,2021-2022,14MMS0610K,BGC,Escolarizada,506,663,,1169,2,0,,2,1,2,,3,0,0,,0,0,0,,0,0,0,,0,8,16,,24,0,0,,0,0,0,,0,11,18,,29,0,0,,0
9 2021-2022 14MMS0611J BGC,9,2021-2022,14MMS0611J,BGC,Escolarizada,509,837,,1346,0,1,,1,0,0,,0,0,0,,0,1,0,,1,0,0,,0,4,16,,20,1,0,,1,0,0,,0,6,17,,23,0,0,,0
10 2021-2022 14MMS0611J BGC,10,2021-2022,14MMS0611J,BGC,Escolarizada,507,838,,1345,0,0,,0,0,0,,0,0,0,,0,0,1,,1,0,1,,1,5,8,,13,1,0,,1,0,0,,0,6,10,,16,0,1,,1
11 2021-2022 14MMS0612I BGC,11,2021-2022,14MMS0612I,BGC,Escolarizada,986,1459,,2445,1,2,,3,0,0,,0,0,0,,0,2,0,,2,0,1,,1,12,23,,35,0,1,,1,1,0,,1,16,27,,43,1,1,,2
12 2021-2022 14MMS0612I BGC,12,2021-2022,14MMS0612I,BGC,Escolarizada,945,1498,,2443,1,3,,4,1,0,,1,0,0,,0,1,1,,2,0,1,,1,13,16,,29,0,0,,0,0,0,,0,16,21,,37,0,0,,0
13 2021-2022 14MMS0613H BGC,13,2021-2022,14MMS0613H,BGC,Escolarizada,1168,1482,,2650,1,2,,3,1,0,,1,0,0,,0,1,0,,1,2,3,,5,18,21,,39,1,0,,1,0,0,,0,24,26,,50,7,10,,17
14 2021-2022 14MMS0613H BGC,14,2021-2022,14MMS0613H,BGC,Escolarizada,1189,1464,,2653,3,1,,4,3,0,,3,0,0,,0,0,2,,2,6,3,,9,19,16,,35,0,1,,1,0,0,,0,31,23,,54,0,2,,2
15 2021-2022 14MMS0614G BGC,15,2021-2022,14MMS0614G,BGC,Escolarizada,1001,1498,,2499,1,2,,3,0,0,,0,0,0,,0,2,1,,3,0,0,,0,19,32,,51,0,1,,1,0,0,,0,22,36,,58,0,0,,0
16 2021-2022 14MMS0614G BGC,16,2021-2022,14MMS0614G,BGC,Escolarizada,1070,1429,,2499,1,1,,2,3,0,,3,0,0,,0,1,0,,1,1,0,,1,15,21,,36,1,0,,1,0,0,,0,22,22,,44,0,1,,1
